,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_batch_size,param_loss,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
sigmoid_128_mse_,7.72905707359314,1.8633258382298117,0.631213108698527,0.027214397356730664,sigmoid,128,mse,0.869700014591217,0.8773000240325928,0.8932499885559082,0.8800833423932394,0.0098136117801396,29,0.8757249712944031,0.8879749774932861,0.8852750062942505,0.8829916516939799,0.005255216084431478
sigmoid_128_categorical_crossentropy_,5.989850918451945,0.286774820900899,0.6834332942962646,0.035198700663194575,sigmoid,128,categorical_crossentropy,0.8738999962806702,0.8397499918937683,0.8873999714851379,0.8670166532198588,0.020052688058114977,30,0.8787500262260437,0.8504250049591064,0.8803250193595886,0.8698333501815796,0.013738826952562835
sigmoid_32_mse_,19.725521167119343,0.588537519259587,1.803266127904256,0.03574998018071962,sigmoid,32,mse,0.8999000191688538,0.9010499715805054,0.9158999919891357,0.9056166609128317,0.007286552507001161,26,0.9041500091552734,0.909375011920929,0.9103000164031982,0.9079416791598002,0.0027075794097896886
sigmoid_32_categorical_crossentropy_,19.08008535703023,1.1843255128260308,2.100389003753662,0.1551493470852471,sigmoid,32,categorical_crossentropy,0.9013500213623047,0.894349992275238,0.9108999967575073,0.9022000034650167,0.006783190708016467,27,0.904449999332428,0.90277498960495,0.9082249999046326,0.9051499962806702,0.0022793493022239095
sigmoid_8_mse_,71.54980262120564,0.5414424652916608,6.341171900431315,0.23925070544862048,sigmoid,8,mse,0.9135000109672546,0.9086999893188477,0.9184499979019165,0.9135499993960062,0.003980581278719298,13,0.9186499714851379,0.9190999865531921,0.9188500046730042,0.9188666542371114,0.00018409471540066486
sigmoid_8_categorical_crossentropy_,77.07791082064311,1.5949104878205862,7.038720766703288,0.11707965032476954,sigmoid,8,categorical_crossentropy,0.8992499709129333,0.9142500162124634,0.9153000116348267,0.9095999995867411,0.00733111827568975,21,0.9063500165939331,0.9233750104904175,0.9157999753952026,0.9151750008265177,0.00696445973987261
relu_128_mse_,6.305909474690755,0.08263556181861013,0.5749688943227133,0.02556327330305214,relu,128,mse,0.9085000157356262,0.903249979019165,0.9068999886512756,0.9062166611353556,0.002197107758176292,24,0.9135000109672546,0.9126999974250793,0.9096999764442444,0.9119666616121928,0.0016357264756806443
relu_128_categorical_crossentropy_,6.267342726389567,0.1974316694092145,0.6703405380249023,0.06360874954713669,relu,128,categorical_crossentropy,0.9034000039100647,0.9024999737739563,0.9123499989509583,0.906083325544993,0.004446415053669577,25,0.9064750075340271,0.9080749750137329,0.9137250185012817,0.9094250003496805,0.0031099400918242356
relu_32_mse_,16.895594358444214,1.562090055350708,1.4739147027333577,0.10076103751642604,relu,32,mse,0.9154499769210815,0.908050000667572,0.9152500033378601,0.9129166603088379,0.0034422162828078398,15,0.9217249751091003,0.9174749851226807,0.9198499917984009,0.9196833173433939,0.0017390493574806463
relu_32_categorical_crossentropy_,19.919279019037884,0.6051665808774048,1.9809979597727458,0.04610739579890138,relu,32,categorical_crossentropy,0.9107499718666077,0.9067000150680542,0.9139500260353088,0.9104666709899902,0.002966575949513433,19,0.9142500162124634,0.9157750010490417,0.91839998960495,0.916141668955485,0.001713943562820015
relu_8_mse_,72.04275306065877,2.1577999836854884,6.366456349690755,0.02750734413176164,relu,8,mse,0.92330002784729,0.9132000207901001,0.9185500144958496,0.9183500210444132,0.004125734978908585,4,0.928974986076355,0.9276999831199646,0.9243500232696533,0.927008330821991,0.0019504456613489783
relu_8_categorical_crossentropy_,74.14097420374553,4.023212485995355,6.858392397562663,1.1031762481739436,relu,8,categorical_crossentropy,0.9123499989509583,0.9131500124931335,0.9199000000953674,0.9151333371798197,0.0033863266164345066,9,0.9147499799728394,0.9224749803543091,0.9223999977111816,0.9198749860127767,0.0036240558109424154
LeakyReLU_128_mse_,6.863418022791545,0.030392740819030945,0.6845119794209799,0.06277134494425612,LeakyReLU,128,mse,0.9269499778747559,0.9027500152587891,0.9101499915122986,0.9132833282152811,0.010124982199959364,14,0.9325500130653381,0.9106500148773193,0.9116500020027161,0.9182833433151245,0.01009631592492975
LeakyReLU_128_categorical_crossentropy_,5.834624290466309,0.012369393762398163,0.6155598958333334,0.03470238766634455,LeakyReLU,128,categorical_crossentropy,0.916700005531311,0.9042500257492065,0.9086999893188477,0.9098833401997884,0.005151099469968853,20,0.9215999841690063,0.9138249754905701,0.9085249900817871,0.9146499832471212,0.0053696272958174435
LeakyReLU_32_mse_,18.06668432553609,1.5885876600202555,1.6575096448262532,0.12496583668609795,LeakyReLU,32,mse,0.9147499799728394,0.9122999906539917,0.9194499850273132,0.9154999852180481,0.002966758701064498,8,0.9175500273704529,0.9251000285148621,0.924049973487854,0.9222333431243896,0.0033392353144834877
LeakyReLU_32_categorical_crossentropy_,21.293686628341675,0.7816819475804823,2.020674705505371,0.01964637032490654,LeakyReLU,32,categorical_crossentropy,0.9089499711990356,0.9068499803543091,0.9157500267028809,0.9105166594187418,0.003798560274192152,18,0.9132500290870667,0.9143249988555908,0.9172499775886536,0.914941668510437,0.0016901889640398083
LeakyReLU_8_mse_,83.90425213177998,7.654893545552521,8.446355899175009,0.29719956980015283,LeakyReLU,8,mse,0.9200000166893005,0.90829998254776,0.9186499714851379,0.9156499902407328,0.00522638277258694,7,0.9286500215530396,0.9212999939918518,0.9242249727249146,0.9247249960899353,0.003021395241907274
LeakyReLU_8_categorical_crossentropy_,98.61272025108337,3.0172462029604876,8.880645593007406,0.04237431798503302,LeakyReLU,8,categorical_crossentropy,0.9195500016212463,0.9078500270843506,0.9151999950408936,0.9142000079154968,0.004828549245837832,10,0.9235749840736389,0.9180750250816345,0.9181749820709229,0.9199416637420654,0.0025694695073491787
PReLU_128_mse_,9.56971549987793,0.151090671546537,0.8975209395090739,0.029597061099482225,PReLU,128,mse,0.9101999998092651,0.9031000137329102,0.9293000102043152,0.9142000079154968,0.011063754709646824,10,0.9163249731063843,0.9121000170707703,0.9311749935150146,0.919866661230723,0.008180111966009648
PReLU_128_categorical_crossentropy_,9.613050619761148,0.25014212192740504,0.963292121887207,0.03561707836379348,PReLU,128,categorical_crossentropy,0.9067500233650208,0.9075000286102295,0.909250020980835,0.9078333576520284,0.0010474821262911416,22,0.9135749936103821,0.9147499799728394,0.9099000096321106,0.9127416610717773,0.00206581467649129
PReLU_32_mse_,25.818017959594727,1.9644650235966852,2.259556293487549,0.13544226967857442,PReLU,32,mse,0.9157500267028809,0.9099500179290771,0.9116500020027161,0.9124500155448914,0.0024344803271332057,17,0.9208250045776367,0.9192749857902527,0.917074978351593,0.9190583229064941,0.0015385883742146712
PReLU_32_categorical_crossentropy_,28.102210362752277,2.7649288526730205,2.7289660771687827,0.03627484963734885,PReLU,32,categorical_crossentropy,0.9137499928474426,0.9110000133514404,0.9130499958992004,0.9126000006993612,0.0011668957585596969,16,0.9141749739646912,0.9195749759674072,0.9163249731063843,0.9166916410128275,0.0022197356332899947
PReLU_8_mse_,100.52909167607625,1.0281963142457298,8.627731561660767,0.13124782372027738,PReLU,8,mse,0.9216499924659729,0.916949987411499,0.9225000143051147,0.9203666647275289,0.0024407508671389507,2,0.9326500296592712,0.9285749793052673,0.9265499711036682,0.9292583266894022,0.0025367829142438733
PReLU_8_categorical_crossentropy_,108.67663383483887,0.9128118801913412,9.358363072077433,0.12286612096490222,PReLU,8,categorical_crossentropy,0.9221500158309937,0.916450023651123,0.9399999976158142,0.9262000123659769,0.010031688870256444,1,0.9265750050544739,0.9276999831199646,0.9452750086784363,0.9331833322842916,0.008562432381338683
